Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
2435;3;3;3;0;-1;-0.6976959985353837
2434;0;5;5;1;0;0.6989561712137871
2433;2;4;4;0;-1;-0.28008659894078747
2432;1;4;4;1;0;0.2805907907911802
2431;3;3;3;0;-1;-0.7027376101197866
2430;0;5;5;1;0;0.7039983968055168
2429;2;4;4;0;-1;-0.2821037348252755
2428;1;4;4;1;0;0.28260817236835045
2427;3;3;3;0;-1;-0.70778167840664
2426;0;5;5;1;0;0.7090430795485503
2425;2;4;4;0;-1;-0.28412185374987864
2424;1;4;4;1;0;0.2846265371652663
2423;3;3;3;0;-1;-0.7128282051920465
2422;0;5;5;1;0;0.7140902212394487
2421;2;4;4;0;-1;-0.28614095643339077
2420;1;4;4;1;0;0.28664588590089757
2419;3;3;3;0;-1;-0.7178771922738783
2418;0;5;5;1;0;0.7191398236765068
2417;2;4;4;0;-1;-0.2881610435953057
2416;1;4;4;1;0;0.2886662192949174
2415;3;3;3;0;-1;-0.7229286414517446
2414;0;5;5;1;0;0.724191888659778
2413;2;4;4;0;-1;-0.29018211595582066
2412;1;4;4;1;0;0.29068753806769543
2411;3;3;3;0;-1;-0.7279825545270171
2410;0;5;5;1;0;0.7292464179910709
2409;2;4;4;0;-1;-0.29220417423583633
2408;1;4;4;1;0;0.2927098429403081
2407;3;3;3;0;-1;-0.7330389333028222
2406;0;5;5;1;0;0.7343034134739526
2405;2;4;4;0;-1;-0.29422721915695327
2404;1;4;4;1;0;0.29473313463453366
2403;3;3;3;0;-1;-0.7380977795840451
2402;0;5;5;1;0;0.7393628769137486
2401;2;4;4;0;-1;-0.296251251441479
2400;1;4;4;1;0;0.2967574138728555
2399;3;3;3;0;-1;-0.7431590951773401
2398;0;5;5;1;0;0.7444248101175575
2397;2;4;4;0;-1;-0.2982762718124281
2396;1;4;4;1;0;0.298782681378464
2395;3;3;3;0;-1;-0.7482228818911096
2394;0;5;5;1;0;0.7494892148942256
2393;2;4;4;0;-1;-0.30030228099351675
2392;1;4;4;1;0;0.300808937875253
2391;3;3;3;0;-1;-0.7532891415355465
2390;0;5;5;1;0;0.7545560930543722
2389;2;4;4;0;-1;-0.30232927970917167
2388;1;4;4;1;0;0.3028361840878233
2387;3;3;3;0;-1;-0.7583578759225986
2386;0;5;5;1;0;0.7596254464103964
2385;2;4;4;0;-1;-0.3043572686845266
2384;1;4;4;1;0;0.3048644207414881
2383;3;3;3;0;-1;-0.7634290868659761
2382;0;5;5;1;0;0.7646972767764559
2381;2;4;4;0;-1;-0.3063862486454223
2380;1;4;4;1;0;0.306893648562264
2379;3;3;3;0;-1;-0.7685027761811725
2378;0;5;5;1;0;0.7697715859684919
2377;2;4;4;0;-1;-0.30841622031841176
2376;1;4;4;1;0;0.30892386827688334
2375;3;3;3;0;-1;-0.7735789456854576
2374;0;5;5;1;0;0.7748483758042042
2373;2;4;4;0;-1;-0.31044718443075503
2372;1;4;4;1;0;0.31095508061278565
2371;3;3;3;0;-1;-0.7786575971978742
2370;0;5;5;1;0;0.7799276481030866
2369;2;4;4;0;-1;-0.312479141710428
2368;1;4;4;1;0;0.31298728629811734
2367;3;3;3;0;-1;-0.7837387325392413
2366;0;5;5;1;0;0.7850094046864093
2365;2;4;4;0;-1;-0.3145120928861118
2364;1;4;4;1;0;0.3150204860617478
2363;3;3;3;0;-1;-0.7888223535321721
2362;0;5;5;1;0;0.7900936473772155
2361;2;4;4;0;-1;-0.31654603868721054
2360;1;4;4;1;0;0.31705468063324993
2359;3;3;3;0;-1;-0.7939084620010526
2358;0;5;5;1;0;0.7951803780003495
2357;2;4;4;0;-1;-0.3185809798438317
2356;1;4;4;1;0;0.31908987074291595
2355;3;3;3;0;-1;-0.798997059772045
2354;0;5;5;1;0;0.8002695983824317
2353;2;4;4;0;-1;-0.32061691708680407
2352;1;4;4;1;0;0.32112605712175224
2351;3;3;3;0;-1;-0.8040881486731308
2350;0;5;5;1;0;0.8053613103518593
2349;2;4;4;0;-1;-0.3226538511476722
2348;1;4;4;1;0;0.32316324050147927
2347;3;3;3;0;-1;-0.8091817305340463
2346;0;5;5;1;0;0.8104555157388447
2345;2;4;4;0;-1;-0.32469178275869126
2344;1;4;4;1;0;0.3252014216145387
2343;3;3;3;0;-1;-0.8142778071863361
2342;0;5;5;1;0;0.815552216375373
2341;2;4;4;0;-1;-0.32673071265284115
2340;1;4;4;1;0;0.3272406011940827
2339;3;3;3;0;-1;-0.8193763804633569
2338;0;5;5;1;0;0.8206514140952379
2337;2;4;4;0;-1;-0.32877064156381763
2336;1;4;4;1;0;0.3292807799739865
2335;3;3;3;0;-1;-0.8244774522002238
2334;0;5;5;1;0;0.8257531107340164
2333;2;4;4;0;-1;-0.3308115702260288
2332;1;4;4;1;0;0.3313219586888483
2331;3;3;3;0;-1;-0.8295810242338817
2330;0;5;5;1;0;0.830857308129108
2329;2;4;4;0;-1;-0.3328534993746164
2328;1;4;4;1;0;0.3333641380739749
2327;3;3;3;0;-1;-0.8346870984030623
2326;0;5;5;1;0;0.8359640081196815
2325;2;4;4;0;-1;-0.3348964297454309
2324;1;4;4;1;0;0.33540731886540875
2323;3;3;3;0;-1;-0.8397956765483165
2322;0;5;5;1;0;0.8410732125467497
2321;2;4;4;0;-1;-0.3369403620750493
2320;1;4;4;1;0;0.3374515017999027
2319;3;3;3;0;-1;-0.844906760511968
2318;0;5;5;1;0;0.8461849232530803
2317;2;4;4;0;-1;-0.3389852971007734
2316;1;4;4;1;0;0.33949668761494145
2315;3;3;3;0;-1;-0.8500203521381913
2314;0;5;5;1;0;0.8512991420833096
2313;2;4;4;0;-1;-0.34103123556062265
2312;1;4;4;1;0;0.3415428770487239
2311;3;3;3;0;-1;-0.8551364532729409
2310;0;5;5;1;0;0.8564158708838292
2309;2;4;4;0;-1;-0.3430781781933483
2308;1;4;4;1;0;0.34359007084018245
2307;3;3;3;0;-1;-0.8602550657639938
2306;0;5;5;1;0;0.8615351115028815
2305;2;4;4;0;-1;-0.34512612573842105
2304;1;4;4;1;0;0.3456382697289708
2303;3;3;3;0;-1;-0.8653761914609319
2302;0;5;5;1;0;0.8666568657905103
2301;2;4;4;0;-1;-0.3471750789360417
2300;1;4;4;1;0;0.34768747445546744
2299;3;3;3;0;-1;-0.8704998322151702
2298;0;5;5;1;0;0.8717811355985638
2297;2;4;4;0;-1;-0.34922503852713405
2296;1;4;4;1;0;0.34973768576078434
2295;3;3;3;0;-1;-0.8756259898799286
2294;0;5;5;1;0;0.8769079227807381
2293;2;4;4;0;-1;-0.3512760052533537
2292;1;4;4;1;0;0.3517889043867548
2291;3;3;3;0;-1;-0.8807546663102563
2290;0;5;5;1;0;0.8820372291925231
2289;2;4;4;0;-1;-0.3533279798570863
2288;1;4;4;1;0;0.3538411310759457
2287;3;3;3;0;-1;-0.8858858633630327
2286;0;5;5;1;0;0.8871690566912527
2285;2;4;4;0;-1;-0.35538096308143885
2284;1;4;4;1;0;0.3558943665716541
2283;3;3;3;0;-1;-0.8910195828969343
2282;0;5;5;1;0;0.8923034071360831
2281;2;4;4;0;-1;-0.3574349556702625
2280;1;4;4;1;0;0.35794861161790337
2279;3;3;3;0;-1;-0.8961558267724996
2278;0;5;5;1;0;0.8974402823879757
2277;2;4;4;0;-1;-0.3594899583681279
2276;1;4;4;1;0;0.3600038669594561
2275;3;3;3;0;-1;-0.9012945968520754
2274;0;5;5;1;0;0.9025796843097638
2273;2;4;4;0;-1;-0.3615459719203411
2272;1;4;4;1;0;0.36206013334179943
2271;3;3;3;0;-1;-0.9064358949998557
2270;0;5;5;1;0;0.9077216147660856
2269;2;4;4;0;-1;-0.36360299707294885
2268;1;4;4;1;0;0.36411741151115784
2267;3;3;3;0;-1;-0.9115797230818465
2266;0;5;5;1;0;0.9128660756234162
2265;2;4;4;0;-1;-0.3656610345727227
2264;1;4;4;1;0;0.3661757022144947
2263;3;3;3;0;-1;-0.9167260829659156
2262;0;5;5;1;0;0.9180130687500814
2261;2;4;4;0;-1;-0.3677200851671767
2260;1;4;4;1;0;0.36823500619950345
2259;3;3;3;0;-1;-0.9218749765217673
2258;0;5;5;1;0;0.9231625960162226
2257;2;4;4;0;-1;-0.36978014960455496
2256;1;4;4;1;0;0.370295324214613
2255;3;3;3;0;-1;-0.927026405620925
2254;0;5;5;1;0;0.9283146592938571
2253;2;4;4;0;-1;-0.3718412286338424
2252;1;4;4;1;0;0.3723566570089929
2251;3;3;3;0;-1;-0.9321803721367772
2250;0;5;5;1;0;0.9334692604568104
2249;2;4;4;0;-1;-0.37390332300476103
2248;1;4;4;1;0;0.37441900533254824
2247;3;3;3;0;-1;-0.9373368779445563
2246;0;5;5;1;0;0.938626401380791
2245;2;4;4;0;-1;-0.3759664334677719
2244;1;4;4;1;0;0.3764823699359283
2243;3;3;3;0;-1;-0.9424959249213316
2242;0;5;5;1;0;0.9437860839433299
2241;2;4;4;0;-1;-0.37803056077407504
2240;1;4;4;1;0;0.3785467515705161
2239;3;3;3;0;-1;-0.9476575149460373
2238;0;5;5;1;0;0.9489483100238125
2237;2;4;4;0;-1;-0.38009570567561113
2236;1;4;4;1;0;0.3806121509884388
2235;3;3;3;0;-1;-0.9528216498994375
2234;0;5;5;1;0;0.9541130815034862
2233;2;4;4;0;-1;-0.38216186892506343
2232;1;4;4;1;0;0.38267856894256447
2231;3;3;3;0;-1;-0.9579883316641862
2230;0;5;5;1;0;0.9592804002654454
2229;2;4;4;0;-1;-0.3842290512758595
2228;1;4;4;1;0;0.38474600618650356
2227;3;3;3;0;-1;-0.963157562124767
2226;0;5;5;1;0;0.964450268194657
2225;2;4;4;0;-1;-0.38629725348216226
2224;1;4;4;1;0;0.3868144634746127
2223;3;3;3;0;-1;-0.9683293431675324
2222;0;5;5;1;0;0.9696226871779245
2221;2;4;4;0;-1;-0.3883664762988914
2220;1;4;4;1;0;0.38888394156198913
2219;3;3;3;0;-1;-0.9735036766806928
2218;0;5;5;1;0;0.9747976591039382
2217;2;4;4;0;-1;-0.3904367204817021
2216;1;4;4;1;0;0.3909544412044781
2215;3;3;3;0;-1;-0.9786805645543311
2214;0;5;5;1;0;0.9799751858632426
2213;2;4;4;0;-1;-0.3925079867869954
2212;1;4;4;1;0;0.3930259631586708
2211;3;3;3;0;-1;-0.9838600086803915
2210;0;5;5;1;0;0.9851552693482404
2209;2;4;4;0;-1;-0.39458027597192924
2208;1;4;4;1;0;0.3950985081819063
2207;3;3;3;0;-1;-0.9890420109526836
2206;0;5;5;1;0;0.9903379114532136
2205;2;4;4;0;-1;-0.3966535887943987
2204;1;4;4;1;0;0.39717207703226975
2203;3;3;3;0;-1;-0.9942265732668965
2202;0;5;5;1;0;0.9955231140743344
2201;2;4;4;0;-1;-0.3987279260130556
2200;1;4;4;1;0;0.3992466704685995
2199;3;3;3;0;-1;-0.9994136975205912
2198;0;5;5;2;1;1.0007108791095973
2197;2;4;4;0;-1;-0.4008032883872943
2196;1;4;4;1;0;0.4013222892504782
2195;3;3;3;-1;-2;-1.0046033856131906
2194;0;5;5;2;1;1.005901208458937
2193;2;4;4;0;-1;-0.40287967667726576
2192;1;4;4;1;0;0.4033989341382451
2191;3;3;3;-1;-2;-1.0097956394460113
2190;0;5;5;2;1;1.0110941040241173
2189;2;4;4;0;-1;-0.4049570916438725
2188;1;4;4;1;0;0.4054766058929875
2187;3;3;3;-1;-2;-1.0149904609222489
2186;0;5;5;2;1;1.0162895677088066
2185;2;4;4;0;-1;-0.4070355340487666
2184;1;4;4;1;0;0.40755530527654926
2183;3;3;3;-1;-2;-1.0201878519469822
2182;0;5;5;2;1;1.0214876014185492
2181;2;4;4;0;-1;-0.40911500465435324
2180;1;4;4;1;0;0.40963503305152393
2179;3;3;3;-1;-2;-1.0253878144271624
2178;0;5;5;2;1;1.0266882070607792
2177;2;4;4;0;-1;-0.41119550422379625
2176;1;4;4;1;0;0.41171578998126535
2175;3;3;3;-1;-2;-1.0305903502716482
2174;0;5;5;2;1;1.0318913865448103
2173;2;4;4;0;-1;-0.4132770335210125
